type,Plating day,Measurment day,Num. of active electrodes,Mean of mean firing rate [spikes/sec],STD of mean firing rate,Mean Amp. [Uv],Std of Amp.
Control,49,52,1,1.3,0,-24.1,0
Control,49,52,40,3.6,6.1,-46.5,12.5
Control,49,52,43,1.8,1.7,-42.3,10.1
Shank3,49,52,23,3.1,3.3,-39.3,7.7
Control,49,55,39,2.5,2.2,-51.7,15
Control,49,55,49,3,2.4,-45.3,11.2
Shank3,49,55,23,2.4,2.9,-36.4,8.1
Control,49,55,36,1.4,1.9,-45.8,13.7
Control,49,59,45,2.3,2.2,-46.8,11.2
Shank3,49,59,22,2.1,3.1,-35.5,7.1
Control,60,63,12,1.7,2.6,-34.6,9.6
Control,60,63,5,0.1,0,-29.1,3
Control,60,63,20,2.6,3.4,-37.4,14
Shank3,60,63,35,6.7,5.8,-42.3,15.2
Shank3,60,63,16,3.2,3.2,-34,5.8
Control,60,63,27,3.6,3.7,-38.3,10.3
Control,60,63,27,2.6,2.8,-37.1,10.2
Control,60,66,3,0.1,0,-25.1,2.1
Control,60,66,27,2.2,3.1,-32.9,7.7
Shank3,60,66,41,9.8,8.1,-44.9,20.1
Shank3,60,66,18,2.9,3.6,-34.3,9.1
Control,60,66,17,1.6,1.9,-73.8,24.6
Control,60,69,2,0.3,0.3,-23.7,2.7
Control,60,69,26,2.3,2.5,-34.8,9.8
Shank3,60,69,44,8.1,6.6,-44.6,19.4
Shank3,60,69,24,2.4,3,-32.5,7.7
Control,60,69,44,6.3,5.6,-39.5,12.7
Control,60,74,41,1.3,1.9,-32.2,8
Shank3,60,74,56,6.2,7.1,-42.8,17.6
Control,60,74,51,6.2,6.8,-38.5,11.3
Shank3,60,77,45,7.8,6.2,-41.7,14.1
Control,60,77,43,6.2,5,-40.4,11.3
Control,42,45,26,0.3,0.3,-32.4,14.6
Control,42,45,39,2.1,2.3,-44.1,10.5
Control,42,45,30,0.3,0.3,-37.9,7.1
Control,42,49,25,0.3,0.4,-32.7,8.4
Control,42,49,42,2.1,2.3,-46.8,15.4
Control,42,49,17,15.7,4.3,-41.1,7.4
Control,42,49,9,0.1,0.1,-33.7,7
